memorability_score;reprentativeness_score;sentence
9.2249;0.0047091338451019735;back at you
10.0028715;0.005758174266289068;On its way
10.1694697;0.016176016185058085;I like it.
10.37961923;0.011679784157957283;cool is it not
10.7553051;0.02154823271094734;We have the data.
10.9464151;0.025354797201883286;This is the crew.
10.983461499999999;0.009582825733746542;See you then
11.0538664;0.028603420648390738;I will be there.
11.13640923;0.021768829818163502;Were on the way.
11.1696651;0.03513113607574371;I can get them.
11.2029983;0.03396176889191792;I will call.
11.2157575;0.018800738289083595;Working on it
11.2304719;0.03069629093720487;money wise that is
11.2433651;0.03170535326539353;Not at this time.
11.2454915;0.01028174083816958;No can do.
11.250211499999999;0.010292171659665825;Good for you.
11.3718751;0.03454221796688545;That is not true.
11.394869700000001;0.033360845093537116;It went well.
11.44071;0.020678794211164787;Make the move.
11.4660445;0.0374482753830135;No to both.
11.5035926;0.04612667238227201;There is a God.
11.5117045;0.04597159973779769;I will tell them.
11.5316719;0.0371186812628549;This will be hard.
11.5405415;0.010766795817370922;See you soon
11.5519483;0.039875466656206046;Of course not
11.5538083;0.039904345520468794;What a pain.
11.553893599999999;0.030594414995612124;I sent it to her.
11.5539315;0.010780354533660583;Go to 16.
11.5583283;0.04632748991187302;Brian is working this
11.5619515;0.010788109919988834;How are you?
11.5732129;0.042380180223524834;If he wants it.
11.574383000000001;0.025596016015756454;See you later
11.5838897;0.03534241063806595;I hope so.
11.5885026;0.04885331817931277;I have no idea.
11.6067183;0.04071084273361668;I have none.
11.60951923;0.028567876167050425;Not even in yet.
11.6500845;0.03970524688698781;I love you.
11.6691015;0.010865168652675998;OK by me.
11.674579699999999;0.03614897694097671;What is this?
11.6777029;0.04494779142160264;I love you too.
11.6805716;0.03349520286546136;What is in the plan?
11.71924;0.021647483823797473;Send to me.
11.741723799999999;0.0136577090312241;I have a request.
11.7696;0.0217545746003476;OK with me.
11.7867015;0.010892122851428182;Will that work?
11.836688299999999;0.04383071289562184;What a mess.
11.8490182;0.03404694766727212;I am all over it.
11.88955;0.04450475402589666;Only in Texas.
11.8919015;0.010864777831733329;This looks good.
11.9063705;0.03413299546556131;I am on my way.
11.9096775;0.034767668353810496;I would agree.
11.9435542;0.04609251066427751;We are in a loop.
11.9438467;0.0588096391141742;That would be great.
11.945388900000001;0.038676722618823975;I better go.
11.9694168;0.038536250054716184;In a couple of weeks.
11.9774545;0.06016517544576629;Thanks for the plant.
11.9799051;0.04733584580642651;It was very nice.
11.9979704;0.04451949064295437;Here is the message.
12.003063399999998;0.027358492151366265;If so what was it?
12.013053;0.026845960962674;Works for me.
12.016009999999998;0.02195977212416504;Not very good.
12.0246305;0.03706852695148361;This will make my week.
12.0255546;0.05140190342625868;Not in the near future.
12.03092;0.029293522998335667;It is no problem.
12.034224199999999;0.04943219811528877;I think its over now.
12.040662999999999;0.042596176018726915;That is so sad.
12.0424933;0.04462895230611868;I will be back Friday.
12.060155100000001;0.0487988661936919;What is the mood?
12.0651395;0.009236821122264038;Not a problem.
12.0683351;0.048943364986183;Hope all is well.
12.100745100000001;0.04950695729894511;Talk to you soon.
12.106656699999998;0.06337943250921928;Talk to you later.
12.113754199999999;0.05241680997149538;I am at the lake.
12.1147616;0.04671644415484129;It may be an hour.
12.121679700000001;0.038488865593489914;Sent to 8
12.1289829;0.055087681569376344;On my way down.
12.134444199999999;0.05320010973773268;See you on the third.
12.15231;0.021842948007163163;Just got this.
12.1550315;0.010587558886160125;This looks fine.
12.1616529;0.05572685122000328;On my way back.
